landkreis_id,landkreis,benzin_euro1,benzin_euro2,benzin_euro3,benzin_euro4,benzin_euro5,benzin_euro6,benzin_euro6d,benzin_euro6dt,benzin_sonstigeemissionsgruppen,diesel_euro1,diesel_euro2,diesel_euro3,diesel_euro4,diesel_euro5,diesel_euro6,diesel_euro6d,diesel_euro6dt,diesel_sonstigeemissionsgruppen,elektro_euro1,elektro_euro2,elektro_euro3,elektro_euro4,elektro_euro5,elektro_euro6,elektro_euro6dt,elektro_sonstigeemissionsgruppen,gas_euro1,gas_euro2,gas_euro3,gas_euro4,gas_euro5,gas_euro6,gas_euro6d,gas_euro6dt,gas_sonstigeemissionsgruppen,hybrid_euro1,hybrid_euro2,hybrid_euro3,hybrid_euro4,hybrid_euro5,hybrid_euro6,hybrid_euro6d,hybrid_euro6dt,hybrid_sonstigeemissionsgruppen,pih_euro2,pih_euro3,pih_euro4,pih_euro5,pih_euro6,pih_euro6d,pih_euro6dt,pih_sonstigeemissionsgruppen,sonstigeantriebe_euro1,sonstigeantriebe_euro2,sonstigeantriebe_euro3,sonstigeantriebe_euro4,sonstigeantriebe_euro5,sonstigeantriebe_euro6,sonstigeantriebe_euro6dt,sonstigeantriebe_sonstigeemissionsgruppen,anzahl_kfz,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe,euro1,euro2,euro3,euro4,euro5,euro6,euro6d,euro6dt,sonstigeemissionsgruppen,vee,anzahl_personen,unfaelle_je_10k_kfz,anzahl_kfz_je_person
1053,"Herzogtum Lauenburg, Landkreis",1246,5437,4562,24360,17595,16960,25,4107,1508,268,1717,4001,6783,14055,10354,48,1708,437,0,0,0,0,0,0,0,320,9,123,148,522,239,80,0,13,31,0,0,0,51,158,257,6,257,1,0,0,0,10,97,2,87,0,0,0,0,1,7,2,0,3,117595,75800,39371,320,1165,730,196,13,1523,7277,8711,31717,32064,27750,81,6172,2300,24577,195,57.1,0.603051282051282
1054,"Nordfriesland, Landkreis",983,4892,4021,20269,13120,13026,40,3215,1563,270,2373,4923,7236,13770,9337,47,1544,541,0,0,0,0,0,0,0,554,3,107,90,345,107,57,0,6,18,0,0,0,20,101,233,9,189,0,0,0,0,7,128,0,95,0,0,0,0,8,17,0,0,10,103274,61129,40041,554,733,552,230,35,1256,7372,9034,27878,27122,22781,96,5049,2686,27412,166,83.2,0.622132530120482
1055,"Ostholstein, Landkreis",1381,6116,5113,27119,19566,18497,24,4711,1689,354,2072,4497,6533,14296,10403,36,1659,471,0,0,0,0,0,0,0,269,7,111,126,433,175,86,0,16,4,0,0,0,37,112,225,8,199,1,0,0,0,5,76,0,87,0,0,0,0,8,10,1,0,1,126534,84216,40321,269,958,582,168,20,1742,8299,9736,34130,34164,29288,68,6672,2435,24767,198,74.9,0.6390606060606061
1056,"Pinneberg, Landkreis",1522,7813,7259,36955,28399,28511,72,8091,2323,370,2286,5434,8464,17652,14655,95,3012,569,0,0,0,0,0,0,0,479,11,114,159,608,199,109,0,27,15,0,0,0,71,303,658,30,601,4,0,0,0,15,154,3,185,0,0,0,1,9,14,1,0,4,177256,120945,52537,479,1242,1667,357,29,1903,10213,12853,46107,46582,44088,200,11916,3394,25576,312,72.1,0.5681282051282052
1057,"Plön, Landkreis",684,3820,3226,17232,11979,11278,41,2700,926,213,1608,3229,4617,9331,6577,40,998,360,0,1,0,0,0,0,0,209,4,62,56,257,72,43,0,7,7,0,0,0,13,107,228,1,152,0,0,0,0,7,48,0,39,0,0,0,0,3,9,0,0,1,80185,51886,26973,210,508,501,94,13,901,5491,6511,22122,21505,18174,82,3896,1503,24390,126,55.7,0.6363888888888889
1058,"Rendsburg-Eckernförde, Landkreis",1420,7656,6563,34639,23860,22642,98,5818,2114,452,3326,7393,11662,22893,16113,86,3022,789,0,0,0,0,0,0,0,466,11,172,157,561,220,135,0,11,19,0,0,0,59,239,538,8,368,0,0,0,0,12,112,2,118,0,0,0,0,11,11,0,0,0,173776,104810,65736,466,1286,1212,244,22,1883,11154,14113,46932,47235,39540,194,9337,3388,24968,269,60.4,0.646007434944238
1059,"Schleswig-Flensburg, Landkreis",1040,5799,5067,25001,15588,14420,18,3649,1497,353,3040,6562,10507,18475,12117,48,1881,689,0,0,0,0,0,0,0,350,12,172,151,448,156,53,0,15,16,0,0,0,22,112,243,3,225,1,0,0,0,9,89,0,70,0,0,0,0,15,10,0,0,2,127925,72079,53672,350,1023,606,168,27,1405,9011,11780,35993,34350,26922,69,5840,2555,23782,197,56.8,0.6493654822335025
1060,"Segeberg, Landkreis",1428,7242,6805,34467,24910,24697,60,6806,2040,380,2416,5605,9012,19146,15477,101,3061,594,0,0,0,0,0,0,0,505,11,146,153,622,246,119,0,25,19,0,0,0,61,258,558,14,456,0,0,0,0,11,148,2,169,0,0,0,0,6,20,2,0,3,167801,108455,55792,505,1341,1347,330,31,1819,9804,12563,44168,44591,41001,177,10517,3161,24417,272,64.1,0.6169154411764706
1061,"Steinburg, Landkreis",716,3929,3512,17181,11305,10934,64,2639,1015,220,1414,3265,5276,10048,7020,44,1116,348,0,0,0,0,0,0,0,169,5,66,88,309,123,63,0,9,3,0,0,1,16,87,196,3,144,0,0,0,0,1,45,3,42,0,0,0,0,3,8,0,0,5,81435,51295,28751,169,666,447,91,16,941,5409,6866,22785,21572,18258,114,3950,1540,23128,130,53.3,0.626423076923077
1062,"Stormarn, Landkreis",1588,6546,5559,30270,22894,23538,150,6222,2402,366,1972,4510,7219,16020,15087,98,3658,540,0,0,0,0,0,0,0,486,13,109,131,501,217,126,0,21,20,0,0,0,64,258,520,16,461,1,0,0,0,11,147,1,143,0,0,0,0,9,14,3,0,5,151916,99169,49470,486,1138,1320,302,31,1967,8627,10200,38063,39414,39421,265,10505,3454,26692,240,69.4,0.6329833333333333
