anzahl_personen_1000,vee,anzahl_kfz_je_person,unfaelle_je_10k_kfz,elektro,pih,euro2,euro3,euro4,euro6,euro6dt
88.0,19384.0,0.5063181818181818,83.2,0.3231887961217344,0.2625908968489092,5.435856001436394,7.249304246341683,26.5261693150193,24.84064996857887,7.2784810126582276
241.0,20216.0,0.4610622406639004,97.3,0.3167860614132978,0.2402894272652003,6.396018575182692,7.505669750530977,27.0690089636056,23.94344648835451,7.1483854710392745
210.0,21164.0,0.4746047619047619,117.4,0.3110357490443176,0.1876247905525399,6.501650496152187,7.6083357580743876,27.949070404446807,23.30962103805673,6.444460051973071
78.0,20133.0,0.5437948717948718,87.3,0.1673896642776311,0.1390984534138061,6.605997736703132,8.572236891738966,28.61420218785364,22.37599019238024,6.820539419087137
322.0,21138.0,0.5950590062111801,84.4,0.2004081227917268,0.1659629766868988,6.1557651258552575,8.647819256924258,26.21119049731485,23.81255577765136,6.805525836469059
102.0,19975.0,0.7000392156862745,62.0,0.1414486583384684,0.1134390230239202,5.398857206879167,7.779676208615764,26.2156181726514,23.560304744832223,6.162119769200605
130.0,20786.0,0.6630461538461538,64.8,0.1461784769594876,0.2065061023713397,5.8599006914474,7.989929927142791,26.395656410970343,24.406004919021765,5.9225486101443225
192.0,22117.0,0.69575,62.7,0.1504671218109953,0.1130374895197029,5.419062163133309,7.857228410588095,27.16717570966583,23.221343873517785,6.76353455503653
140.0,23319.0,0.7002714285714285,70.7,0.2111426181684653,0.1387217201493298,5.847732511883148,7.987719047716192,25.91546135172076,24.620045288561577,6.100695648626043
86.0,22933.0,0.7160581395348837,61.5,0.1380295870479531,0.0828177522287718,5.552037154317079,7.070362611844562,26.37339439112713,24.35329078774297,5.657589191471395
131.0,24015.0,0.6253282442748092,61.2,0.2954173685881003,0.1074244976684001,7.193779144998658,8.98703581630411,28.78488244341903,21.12722478576137,4.378769012915354
195.0,24577.0,0.603051282051282,57.1,0.2721204132828776,0.1666737531357625,6.18818827331094,7.4076278753348355,26.971384837790723,23.59794208937455,5.248522471193503
166.0,27412.0,0.622132530120482,83.2,0.5364370509518369,0.2227085229583438,7.138292309777873,8.747603462633382,26.994209578403083,22.058795050061004,4.8889362278986
198.0,24767.0,0.6390606060606061,74.9,0.2125910822387658,0.1327706387216084,6.558711492563265,7.694374634485593,26.97298749743152,23.146348017133736,5.272891080658163
312.0,25576.0,0.5681282051282052,72.1,0.2702306268899219,0.2014036196235952,5.761723157467166,7.251094462246694,26.0115313444961,24.872500789818115,6.722480480209415
126.0,24390.0,0.6363888888888889,55.7,0.2618943692710607,0.1172289081499033,6.847914198416162,8.119972563447028,27.588701128640015,22.66508698634408,4.8587641080002495
269.0,24968.0,0.646007434944238,60.4,0.2681613111131571,0.1404106435871466,6.4186078629960415,8.121374643218857,27.00718165914741,22.75342970260565,5.373008931037657
197.0,23782.0,0.6493654822335025,56.8,0.2735978112175102,0.1313269493844049,7.043971076802815,9.208520617549343,28.136017197576702,21.045143638850888,4.565174907172171
272.0,24417.0,0.6169154411764706,64.1,0.3009517225761467,0.1966615216834226,5.842635026012956,7.486844536087389,26.32165481731337,24.434300153157608,6.267543101650169
130.0,23128.0,0.626423076923077,53.3,0.2075274759010253,0.1117455639467059,6.642107202062995,8.431264198440475,27.979370049732918,22.42033523669184,4.850494259225148
240.0,26692.0,0.6329833333333333,69.4,0.3199136364833198,0.1987940704073303,5.678796176834567,6.714236815082018,25.055293714947734,25.94920877326944,6.915005661023196
3604.0,21502.0,0.3389103773584905,116.4,0.4000219414409141,0.2896597684850499,6.767788327317176,7.618019162737538,26.433541585989573,25.386329008631662,7.065389587476349
70.0,19546.0,0.4925142857142857,83.7,0.1537301311056967,0.1479289940828402,6.250725142127857,7.674904281239122,28.11811114978536,23.10882933054879,6.192713771899292
95.0,20040.0,0.5136421052631579,72.0,0.1229608984342979,0.1004180670546766,6.348881055824247,7.473973276498073,28.47979342569063,23.100254119190097,5.637757193212559
57.0,19000.0,0.4937719298245614,58.3,0.12435601350151,0.14212115828744,5.866050808314087,7.074080653757328,27.26594421744537,24.93871025048854,5.993959850772783
176.0,21918.0,0.4302784090909091,100.1,0.3380475115213459,0.2654201164679317,5.278030873245388,6.374044289506002,25.823660684810317,25.82101968862655,6.838859617847852
179.0,22153.0,0.5894916201117318,85.1,0.1904870212947431,0.1516314597371089,6.705901306873644,7.871568153602669,27.80257583942228,22.805371544461188,5.183900529762413
167.0,22779.0,0.6202934131736527,79.2,0.2007935205475484,0.1756943304791049,6.837598586722528,7.854115784494492,27.12160557588161,23.48125766249312,5.43300929635386
102.0,20208.0,0.6190098039215687,47.7,0.1409588368520249,0.0728551291594735,8.448027368187649,8.996024644039343,29.75340122586674,19.525174614738912,4.045043475506422
160.0,22044.0,0.5865875,64.3,0.1992456368401986,0.1374475248790675,6.366271016685491,7.838770856862787,27.91250239734055,23.18707780169199,5.24964306262919
186.0,21931.0,0.6281935483870967,59.1,0.1386464003286433,0.146348978124679,6.839033240902399,8.054328848721372,27.69333470268049,22.533463421313886,5.06744034781418
208.0,22817.0,0.5893028846153846,74.6,0.2055884152559657,0.1435855598613094,6.558433612074241,7.729145421170712,27.761778502957373,22.799102590250868,4.757087497450541
110.0,20858.0,0.5972727272727273,62.0,0.0684931506849315,0.0791476407914764,6.955859969558599,7.925418569254186,27.92998477929985,22.27853881278539,4.972602739726027
174.0,21886.0,0.614367816091954,55.5,0.1309635173058933,0.1113189897100093,6.373246024321796,7.775491113189897,27.548175865294667,23.543498596819457,4.909260991580917
98.0,20379.0,0.5942551020408163,70.5,0.1305012277418136,0.1030272850593265,6.866768549204114,8.585607088277213,30.250528014835933,19.79154145989663,4.528049178357402
