landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Passau, Landkreis",1200,6986,8241,33770,35680,32579,7092,87,1976
"Regen, Landkreis",435,2290,2784,11897,14930,13874,2980,43,694
"Rottal-Inn, Landkreis",829,4868,6085,23045,21911,19558,4466,89,1562
"Straubing-Bogen, Landkreis",666,3276,4634,18367,20321,16576,3343,53,1180
"Dingolfing-Landau, Landkreis",701,3618,5114,17655,17932,14777,8106,120,1350
"Amberg, kreisfreie Stadt",228,1137,1483,6250,6857,6762,1938,55,456
"Regensburg, kreisfreie Stadt",702,3257,4097,17379,20850,25948,18585,261,1699
"Weiden in der Oberpfalz, kreisfreie Stadt",238,1279,1489,6240,7034,7372,2041,43,402
"Amberg-Sulzbach, Landkreis",690,3692,4374,18871,20495,16986,3550,50,1234
"Cham, Landkreis",920,4668,5444,23333,26178,21556,4998,92,1466
"Neumarkt in der Oberpfalz, Landkreis",788,3879,5113,21943,25878,24029,5387,97,1670
"Neustadt an der Waldnaab, Landkreis",591,3195,3609,16662,19095,17029,3604,54,963
"Regensburg, Landkreis",1082,5297,6897,30685,37298,34894,7229,95,2192
"Schwandorf, Landkreis",842,4647,5702,25102,29240,26999,5698,79,1599
"Tirschenreuth, Landkreis",429,2351,2476,12073,14625,13223,2909,40,616
"Bamberg, kreisfreie Stadt",574,2586,2870,9803,10166,10608,3274,78,1020
"Bayreuth, kreisfreie Stadt",426,1909,2223,9251,10357,11067,3626,54,702
"Coburg, kreisfreie Stadt",265,1216,1417,5626,6246,7268,2419,76,550
"Hof, kreisfreie Stadt",215,1136,1392,5477,6343,7661,3089,249,390
"Bamberg, Landkreis",1093,5969,7146,27684,28706,23690,4954,74,1726
"Bayreuth, Landkreis",712,3726,4098,18120,20832,18706,3975,59,1049
"Coburg, Landkreis",554,3259,3477,14928,16164,15363,3502,63,1081
"Forchheim, Landkreis",855,4395,5315,20855,22079,18578,4047,78,1512
"Hof, Landkreis",624,3042,3093,13365,17885,19527,4958,88,997
"Kronach, Landkreis",434,2323,2499,10974,12955,12569,2674,62,694
"Kulmbach, Landkreis",517,2675,3064,12142,13746,13118,3152,52,913
"Lichtenfels, Landkreis",456,2574,2868,12381,12332,10744,2289,40,715
"Wunsiedel im Fichtelgebirge, Landkreis",410,2183,2432,10150,13611,14044,3352,68,825
"Ansbach, kreisfreie Stadt",222,1432,1850,6694,6842,6061,1959,44,432
"Erlangen, kreisfreie Stadt",692,3160,3766,13776,14710,14433,3604,194,1237
"Fürth, kreisfreie Stadt",665,3418,4226,16290,16658,16397,4581,95,1152
"Nürnberg, kreisfreie Stadt",2945,13673,16969,59915,61215,66368,20125,567,5068
"Schwabach, kreisfreie Stadt",428,1367,1765,6459,6687,6606,2076,34,796
"Ansbach, Landkreis",1415,7864,9459,34755,35358,27522,5687,139,2376
"Erlangen-Höchstadt, Landkreis",1049,4834,5892,22637,24999,24114,5701,96,2071
"Fürth, Landkreis",877,4088,4883,19487,21255,19831,4417,94,1586
"Nürnberger Land, Landkreis",1261,5715,6794,26363,30555,29766,7796,155,2327
"Neustadt an der Aisch-Bad Windsheim, Landkreis",829,4355,5254,18780,18293,15103,2973,51,1342
"Roth, Landkreis",1026,4814,5655,21844,24112,21841,4973,87,1714
"Weißenburg-Gunzenhausen, Landkreis",838,3998,4791,17246,17411,13496,2954,85,1199
"Aschaffenburg, kreisfreie Stadt",511,2649,3037,10581,10280,10790,4358,329,888
"Schweinfurt, kreisfreie Stadt",331,1763,2210,7658,6881,7049,2196,65,514
"Würzburg, kreisfreie Stadt",901,3871,4330,15580,16118,16204,5289,146,1809
"Aschaffenburg, Landkreis",1324,7015,8256,30230,31008,29496,7565,165,2360
"Bad Kissingen, Landkreis",770,4287,5201,20067,19973,15475,3018,66,1332
"Rhön-Grabfeld, Landkreis",546,3115,4127,15553,15831,11451,2485,52,1087
"Haßberge, Landkreis",592,3684,4409,16737,16388,12822,2487,46,1002
"Kitzingen, Landkreis",760,4648,5044,17663,16214,12949,2755,44,1245
"Miltenberg, Landkreis",935,5343,6649,23139,22741,19325,4865,104,1427
"Main-Spessart, Landkreis",928,5328,6304,23193,23471,19413,4823,129,1547
"Schweinfurt, Landkreis",866,5094,6260,22971,21832,16253,3459,56,1535
"Würzburg, Landkreis",1139,6226,7615,28674,28993,25010,5932,85,2316
"Augsburg, kreisfreie Stadt",1466,6792,8991,33821,33975,37797,12127,684,2743
"Kaufbeuren, kreisfreie Stadt",244,1197,1609,6341,6803,6738,1677,34,470
"Kempten (Allgäu), kreisfreie Stadt",311,1684,2293,9191,10487,11211,3379,83,717
"Memmingen, kreisfreie Stadt",249,1207,1754,6823,6979,6948,2022,121,489
"Aichach-Friedberg, Landkreis",1026,4615,5874,22341,23800,21754,5190,83,1851
"Augsburg, Landkreis",1875,8288,10455,40642,44643,43718,11225,326,3610
"Dillingen an der Donau, Landkreis",662,3686,4887,18406,18409,14608,3020,73,1190
"Günzburg, Landkreis",826,4204,5539,22628,24117,20689,4500,110,1465
"Neu-Ulm, Landkreis",1060,5592,6828,29730,29430,27598,7298,256,2161
"Lindau (Bodensee), Landkreis",636,3158,3810,13873,14226,12444,2729,49,1385
"Ostallgäu, Landkreis",959,4684,6301,23533,25895,22934,5054,109,1986
"Unterallgäu, Landkreis",1142,5621,6861,27297,27984,22648,4779,64,2064
"Donau-Ries, Landkreis",1004,5644,6993,25214,25475,20332,4954,144,1671
"Oberallgäu, Landkreis",1101,4645,6441,24325,29009,26362,6344,148,2438
